iter	Passed	Remaining
0	3	3349
1	7	3651
2	10	3499
3	13	3321
4	16	3296
5	20	3362
6	24	3461
7	28	3484
8	31	3452
9	34	3422
10	39	3568
11	43	3565
12	46	3533
13	49	3503
14	54	3585
15	58	3577
16	61	3554
17	63	3455
18	67	3464
19	71	3516
20	75	3513
21	78	3498
22	82	3488
23	86	3504
24	89	3509
25	93	3498
26	96	3483
27	99	3457
28	103	3471
29	106	3450
30	109	3430
31	112	3409
32	115	3396
33	120	3411
34	123	3404
35	126	3392
36	129	3382
37	132	3366
38	137	3379
39	140	3367
40	143	3356
41	147	3353
42	150	3348
43	154	3365
44	158	3355
45	161	3353
46	164	3343
47	168	3350
48	172	3343
49	175	3338
50	178	3330
51	182	3322
52	186	3339
53	190	3336
54	193	3325
55	196	3318
56	201	3338
57	205	3329
58	208	3319
59	211	3310
60	214	3297
61	217	3297
62	221	3289
63	224	3280
64	227	3275
65	231	3270
66	235	3278
67	238	3272
68	242	3272
69	245	3267
70	250	3271
71	252	3260
72	256	3256
73	258	3235
74	261	3229
75	265	3225
76	269	3227
77	272	3221
78	275	3216
79	279	3210
80	283	3211
81	286	3207
82	289	3201
83	292	3194
84	296	3187
85	300	3189
86	303	3186
87	306	3181
88	310	3178
89	313	3173
90	317	3175
91	321	3171
92	324	3166
93	328	3162
94	332	3167
95	336	3164
96	339	3157
97	342	3149
98	345	3144
99	349	3146
100	353	3148
101	356	3142
102	360	3135
103	363	3129
104	366	3127
105	370	3120
106	373	3113
107	376	3107
108	380	3106
109	383	3100
110	386	3094
111	390	3098
112	394	3093
113	397	3088
114	400	3081
115	403	3072
116	407	3073
117	410	3067
118	413	3061
119	416	3056
120	420	3054
121	424	3057
122	428	3051
123	431	3047
124	434	3041
125	438	3041
126	441	3035
127	444	3029
128	447	3022
129	450	3016
130	454	3014
131	457	3009
132	460	3000
133	463	2997
134	467	2992
135	470	2992
136	474	2987
137	477	2981
138	480	2975
139	483	2973
140	488	2977
141	492	2975
142	495	2970
143	499	2967
144	502	2965
145	506	2962
146	509	2956
147	512	2950
148	515	2944
149	519	2942
150	524	2947
151	528	2948
152	531	2943
153	535	2944
154	539	2939
155	542	2934
156	545	2929
157	548	2923
158	552	2923
159	556	2919
160	559	2914
161	562	2909
162	565	2905
163	569	2905
164	573	2901
165	576	2896
166	579	2890
167	582	2886
168	586	2886
169	590	2881
170	593	2876
171	596	2872
172	599	2868
173	603	2867
174	607	2862
175	610	2856
176	613	2851
177	616	2847
178	620	2844
179	623	2841
180	627	2837
181	630	2832
182	634	2831
183	637	2827
184	640	2823
185	644	2819
186	647	2815
187	651	2815
188	655	2810
189	658	2806
190	661	2802
191	664	2798
192	668	2797
193	672	2792
194	675	2787
195	678	2781
196	681	2777
197	685	2776
198	688	2771
199	692	2768
200	695	2762
201	698	2758
202	702	2756
203	705	2752
204	708	2748
205	711	2743
206	715	2739
207	718	2736
208	722	2733
209	725	2729
210	728	2725
211	733	2724
212	737	2725
213	742	2726
214	745	2722
215	749	2721
216	753	2717
217	756	2712
218	759	2709
219	762	2704
220	767	2706
221	772	2705
222	775	2702
223	779	2700
224	784	2702
225	788	2700
226	791	2695
227	795	2692
228	799	2691
229	802	2688
230	806	2683
231	809	2680
232	812	2675
233	817	2675
234	820	2671
235	823	2667
236	825	2658
237	829	2655
238	833	2655
239	837	2651
240	840	2647
241	843	2643
242	847	2641
243	851	2637
244	854	2633
245	857	2629
246	861	2625
247	866	2626
248	869	2622
249	872	2617
250	876	2614
251	880	2613
252	884	2612
253	887	2607
254	891	2604
255	894	2599
256	899	2601
257	903	2597
258	906	2593
259	909	2589
260	913	2587
261	917	2583
262	920	2580
263	923	2575
264	927	2572
265	931	2570
266	935	2567
267	938	2562
268	941	2559
269	945	2556
270	949	2554
271	952	2550
272	956	2547
273	959	2543
274	964	2542
275	967	2537
276	971	2534
277	974	2530
278	978	2529
279	982	2526
280	986	2523
281	989	2518
282	993	2516
283	998	2518
284	1003	2517
285	1008	2517
286	1013	2518
287	1017	2516
288	1021	2513
289	1025	2509
290	1029	2509
291	1033	2506
292	1037	2502
293	1040	2498
294	1044	2497
295	1048	2492
296	1051	2488
297	1054	2484
298	1058	2480
299	1062	2478
300	1065	2474
301	1068	2470
302	1071	2465
303	1075	2461
304	1079	2458
305	1082	2454
306	1085	2450
307	1088	2446
308	1092	2443
309	1095	2438
310	1098	2434
311	1102	2430
312	1105	2427
313	1109	2423
314	1112	2419
315	1116	2415
316	1119	2412
317	1123	2408
318	1126	2405
319	1130	2401
320	1133	2397
321	1137	2394
322	1140	2390
323	1144	2386
324	1147	2382
325	1150	2378
326	1153	2374
327	1157	2370
328	1160	2366
329	1163	2362
330	1167	2358
331	1170	2355
332	1173	2351
333	1177	2348
334	1180	2344
335	1184	2340
336	1187	2336
337	1191	2333
338	1195	2330
339	1198	2327
340	1201	2322
341	1205	2318
342	1208	2315
343	1211	2310
344	1215	2306
345	1218	2302
346	1221	2298
347	1225	2296
348	1228	2292
349	1232	2288
350	1235	2283
351	1238	2279
352	1242	2277
353	1245	2273
354	1248	2269
355	1252	2265
356	1255	2260
357	1258	2257
358	1261	2252
359	1264	2248
360	1268	2244
361	1271	2241
362	1275	2238
363	1278	2234
364	1282	2230
365	1285	2226
366	1288	2222
367	1292	2219
368	1295	2215
369	1298	2211
370	1301	2206
371	1305	2203
372	1308	2199
373	1311	2195
374	1315	2191
375	1318	2187
376	1321	2184
377	1325	2180
378	1328	2176
379	1331	2171
380	1334	2168
381	1339	2166
382	1342	2162
383	1345	2159
384	1349	2155
385	1352	2151
386	1356	2149
387	1360	2145
388	1363	2141
389	1366	2137
390	1370	2134
391	1373	2130
392	1377	2127
393	1380	2123
394	1383	2118
395	1386	2115
396	1390	2111
397	1393	2107
398	1396	2104
399	1400	2100
400	1403	2097
401	1407	2094
402	1410	2090
403	1414	2086
404	1417	2081
405	1421	2079
406	1424	2075
407	1427	2071
408	1430	2067
409	1434	2064
410	1438	2061
411	1442	2058
412	1445	2053
413	1448	2049
414	1451	2045
415	1455	2042
416	1458	2038
417	1461	2034
418	1464	2030
419	1467	2026
420	1470	2022
421	1473	2018
422	1477	2014
423	1480	2010
424	1483	2007
425	1487	2004
426	1490	2000
427	1493	1996
428	1496	1992
429	1500	1988
430	1503	1985
431	1507	1981
432	1510	1978
433	1514	1974
434	1517	1970
435	1522	1968
436	1527	1967
437	1530	1963
438	1533	1960
439	1538	1957
440	1542	1955
441	1545	1951
442	1549	1948
443	1555	1947
444	1558	1944
445	1561	1940
446	1565	1936
447	1569	1933
448	1572	1930
449	1576	1926
450	1579	1922
451	1582	1918
452	1586	1916
453	1590	1912
454	1594	1909
455	1597	1905
456	1602	1903
457	1606	1900
458	1610	1898
459	1614	1895
460	1618	1892
461	1621	1888
462	1624	1884
463	1627	1880
464	1630	1876
465	1634	1872
466	1637	1869
467	1640	1865
468	1643	1861
469	1647	1857
470	1650	1854
471	1654	1850
472	1657	1846
473	1660	1842
474	1663	1838
475	1668	1836
476	1671	1832
477	1674	1828
478	1678	1825
479	1681	1821
480	1685	1818
481	1688	1814
482	1691	1810
483	1694	1806
484	1698	1803
485	1702	1800
486	1705	1796
487	1708	1792
488	1711	1789
489	1716	1786
490	1720	1783
491	1724	1780
492	1728	1778
493	1732	1774
494	1737	1772
495	1743	1771
496	1748	1769
497	1752	1766
498	1755	1762
499	1759	1759
500	1763	1756
501	1767	1753
502	1770	1749
503	1774	1746
504	1779	1744
505	1783	1741
506	1786	1737
507	1789	1733
508	1793	1730
509	1796	1726
510	1800	1722
511	1803	1718
512	1807	1715
513	1810	1711
514	1813	1707
515	1816	1704
516	1819	1700
517	1823	1696
518	1827	1693
519	1831	1690
520	1834	1686
521	1837	1682
522	1841	1679
523	1844	1675
524	1847	1671
525	1850	1667
526	1853	1663
527	1857	1660
528	1860	1656
529	1863	1652
530	1866	1648
531	1870	1645
532	1873	1641
533	1877	1638
534	1880	1634
535	1884	1630
536	1887	1627
537	1892	1625
538	1895	1621
539	1899	1617
540	1902	1614
541	1906	1610
542	1909	1607
